Tiempo;Lux;;;;
11,84335115;99,73;;;;
11,89252225;102,97;;;;
11,94218506;105,28;;;;
11,99086445;104,64;;;;
12,03954384;104,64;;;;
12,08969836;105,28;;;;
12,13837775;105,28;;;;
12,18754885;104,64;;;;
12,23622824;104,64;;;;
12,28539934;104,64;;;;
12,33506215;108,64;;;;
12,38374154;105,28;;;;
12,43242092;105,28;;;;
12,48306716;105,28;;;;
12,53125484;105,28;;;;
12,58042594;105,28;;;;
12,63058046;104,64;;;;
12,67876814;104,64;;;;
12,72843095;104,64;;;;
12,77760205;105,28;;;;
12,82382288;105,28;;;;
12,87741938;102,97;;;;
12,92413192;105,28;;;;
12,97428645;105,28;;;;
13,02296584;105,28;;;;
13,07164522;105,28;;;;
13,12130804;105,28;;;;
13,17097085;108,64;;;;
13,22014195;108,64;;;;
13,26832962;102,97;;;;
13,31799244;102,97;;;;
13,36716354;102,97;;;;
13,41535121;104,64;;;;
13,46599745;102,97;;;;
13,51467684;102,97;;;;
13,56384794;104,64;;;;
13,61301904;104,64;;;;
13,66219014;104,64;;;;
13,71185295;105,28;;;;
13,76053234;102,97;;;;
13,80921172;105,28;;;;
13,85838282;104,64;;;;
13,90755392;104,64;;;;
13,95524989;105,28;;;;
14,00687955;108,64;;;;
14,05506722;108,64;;;;
14,10423832;108,64;;;;
14,15439285;105,28;;;;
14,20258052;105,28;;;;
14,25224334;104,64;;;;
14,30043101;104,64;;;;
14,35009382;108,64;;;;
14,39926492;108,64;;;;
14,44892774;104,64;;;;
14,49760712;108,64;;;;
14,54628651;108,64;;;;
14,59644104;108,64;;;;
14,64512042;105,28;;;;
14,69478324;104,64;;;;
14,74346262;108,64;;;;
14,79263372;110,37;;;;
14,84131311;114,51;;;;
14,89097592;120,59;;;;
14,9391636;169,62;;;;
14,98931812;226,5;;;;
15,03799751;255,22;;;;
15,0866769;300,81;;;;
15,13732314;308,86;;;;
15,18551081;321,94;;;;
15,23517362;355,18;;;;
15,28434472;355,18;;;;
15,33351582;344,04;;;;
15,38219521;321,94;;;;
15,43185802;321,94;;;;
15,48152084;318,4;;;;
15,52970851;317,05;;;;
15,5783879;321,94;;;;
15,62854242;317,05;;;;
15,67722181;320,59;;;;
15,72688462;320,59;;;;
15,77605572;321,94;;;;
15,82522682;317,05;;;;
15,87390621;321,94;;;;
15,92406074;317,05;;;;
15,97224841;317,05;;;;
16,02191122;317,05;;;;
16,07157404;317,05;;;;
16,11976171;320,59;;;;
16,1684411;320,59;;;;
16,21564536;321,94;;;;
16,26924186;321,94;;;;
16,31644611;320,59;;;;
16,36610892;321,94;;;;
16,41528002;321,94;;;;
16,46494284;320,59;;;;
16,51313051;317,05;;;;
16,5618099;321,94;;;;
16,610981;320,59;;;;
16,66113552;321,94;;;;
16,70883149;321,94;;;;
16,75898601;321,94;;;;
16,8076654;317,05;;;;
16,85634479;321,94;;;;
16,90748274;317,05;;;;
16,95567041;321,94;;;;
17,00336638;321,94;;;;
17,05450432;321,94;;;;
17,10367542;317,05;;;;
17,15235481;321,94;;;;
17,20054249;321,94;;;;
17,25118872;321,94;;;;
17,2993764;321,94;;;;
17,34903921;317,05;;;;
17,39821031;320,59;;;;
17,44639799;321,94;;;;
17,49655251;321,94;;;;
17,54572361;321,94;;;;
17,59391129;317,05;;;;
17,64406581;318,4;;;;
17,6927452;321,94;;;;
17,74142459;321,94;;;;
17,79059569;321,94;;;;
17,84124192;321,94;;;;
17,8894296;321,94;;;;
17,93909241;321,94;;;;
17,98826351;328,98;;;;
18,0369429;320,59;;;;
18,086114;321,94;;;;
18,13577681;318,4;;;;
18,1844562;320,59;;;;
18,2336273;321,94;;;;
18,2827984;317,05;;;;
18,33147779;321,94;;;;
18,37868205;321,94;;;;
18,43129512;321,94;;;;
18,4794828;321,94;;;;
18,52816219;321,94;;;;
18,57880842;317,05;;;;
18,62650439;321,94;;;;
18,67518378;321,94;;;;
18,72484659;318,4;;;;
18,77106743;317,05;;;;
18,82220537;317,05;;;;
18,87334331;321,94;;;;
18,92153099;317,05;;;;
18,97021038;318,4;;;;
19,01938148;321,94;;;;
19,06904429;321,94;;;;
19,11821539;321,94;;;;
19,16836991;320,59;;;;
19,21459075;317,05;;;;
19,26572869;320,59;;;;
19,31440808;320,59;;;;
19,3645626;317,05;;;;
19,41275028;321,94;;;;
19,46192138;321,94;;;;
19,51158419;317,05;;;;
19,55928016;321,94;;;;
19,60894297;407,51;;;;
19,65860578;452,45;;;;
19,70826859;439,34;;;;
19,75743969;525,2;;;;
19,80562737;466,47;;;;
19,8562736;461,93;;;;
19,90396957;466,47;;;;
19,95412409;466,47;;;;
20,00231177;466,47;;;;
20,05344971;466,47;;;;
20,10114568;466,47;;;;
20,15179191;466,47;;;;
20,19948788;466,47;;;;
20,24915069;466,47;;;;
20,29832179;466,47;;;;
20,34847631;466,47;;;;
20,39568057;466,47;;;;
20,44583509;461,93;;;;
20,49402277;466,47;;;;
20,54319387;466,47;;;;
20,59285668;466,47;;;;
20,64251949;466,47;;;;
20,69169059;461,93;;;;
20,74036998;461,93;;;;
20,79003279;466,47;;;;
20,83772876;466,47;;;;
20,88788328;466,47;;;;
20,93754609;461,93;;;;
20,98622548;461,93;;;;
21,03539658;461,93;;;;
21,08456768;461,93;;;;
21,13324707;461,93;;;;
21,18241817;461,93;;;;
21,2330644;461,93;;;;
21,28026866;461,93;;;;
21,33091489;466,47;;;;
21,37861086;461,93;;;;
21,42876538;466,47;;;;
21,47695306;461,93;;;;
21,52710758;466,47;;;;
21,57529526;466,47;;;;
21,62594149;461,93;;;;
21,67412917;461,93;;;;
21,7247754;461,93;;;;
21,77247137;461,93;;;;
21,82164247;461,93;;;;
21,87081357;466,47;;;;
21,91801783;466,47;;;;
21,97013919;466,47;;;;
22,01439318;466,47;;;;
22,06798968;466,47;;;;
22,11716078;461,93;;;;
22,16485675;466,47;;;;
22,21501127;466,47;;;;
22,26467408;461,93;;;;
22,30843636;460,2;;;;
22,36301628;466,47;;;;
22,41071225;466,47;;;;
22,46135848;466,47;;;;
22,50610418;466,47;;;;
22,56019239;466,47;;;;
22,60838007;461,93;;;;
22,6546009;466,47;;;;
22,70426371;466,47;;;;
22,75490995;461,93;;;;
22,80555618;466,47;;;;
22,85374386;461,93;;;;
22,90242325;461,93;;;;
22,95306948;461,93;;;;
22,99732347;461,93;;;;
