time;lux
35,498;1092,29
35,608;1092,29
35,695;1092,29
35,809;1092,29
35,902;1092,29
36,006;1092,29
36,105;1092,29
36,205;1092,29
36,302;1092,29
36,407;1092,29
36,503;1092,29
36,607;1092,29
36,696;1092,29
36,808;1092,29
36,906;1092,29
37,005;1092,29
37,106;1092,29
37,201;1092,29
37,3;1092,29
37,407;1092,29
37,496;1092,29
37,609;1092,29
37,692;1092,29
37,81;1092,29
37,898;1092,29
38,007;1092,29
38,103;1092,29
38,2;1095,36
38,303;1095,36
38,407;1095,36
38,505;1095,36
38,606;1095,36
38,696;1095,36
38,808;1095,36
38,906;1095,36
39,005;1095,36
39,105;1095,36
39,2;1095,36
39,302;1095,36
39,405;1095,36
39,499;1095,36
39,61;1111,24
39,696;1111,24
39,807;1119,39
39,905;1111,24
40,004;1111,24
40,101;1119,39
40,203;1119,39
40,304;1119,39
40,405;1119,39
40,5;1119,39
40,605;1119,39
40,694;1119,39
40,808;1119,39
40,903;1119,39
41,006;1119,39
41,101;1119,39
41,201;1119,39
41,297;1119,39
41,406;1119,39
41,494;1119,39
41,608;1119,39
41,694;1119,39
41,807;1119,39
41,898;1119,39
42,007;1119,39
42,103;1119,39
42,196;1119,39
42,305;1119,39
42,404;1119,39
42,501;1119,39
42,606;1119,39
42,696;1119,39
42,806;1119,39
42,902;1119,39
43,005;1119,39
43,102;1119,39
43,201;1119,39
43,299;1119,39
43,404;1119,39
43,498;1119,39
43,606;1119,39
43,692;1119,39
43,807;1119,39
43,901;1119,39
44,005;1119,39
44,098;1119,39
44,205;1119,39
44,301;1119,39
44,404;1119,39
44,501;1119,39
44,604;1119,39
44,691;1119,39
44,807;1119,39
44,903;1119,39
45,004;1119,39
45,102;1119,39
45,204;1119,39
45,295;1119,39
45,406;1119,39
45,503;1119,39
45,604;1119,39
45,694;1135,51
45,803;1135,51
45,904;1135,51
46,002;1119,39
46,102;1119,39
46,198;1135,51
46,303;1135,51
46,402;1135,51
46,501;1135,51
46,602;1135,51
46,692;1143,78
46,804;1143,78
46,9;1143,78
47,003;1135,51
47,092;1135,51
47,199;1143,78
47,297;1143,78
47,403;1143,78
47,492;1143,78
47,605;1143,78
47,692;1143,78
47,806;1143,78
47,9;1143,78
48;1143,78
48,098;1143,78
48,198;1143,78
48,299;1143,78
48,404;1143,78
48,491;1143,78
48,606;1143,78
48,692;1143,78
48,805;1143,78
48,901;1168,51
49,001;1143,78
49,098;1168,51
49,2;1168,51
49,296;1168,51
49,404;1168,51
49,498;1168,51
49,603;1168,51
49,695;1168,51
49,802;1168,51
49,901;1168,51
50,001;1168,51
50,1;1168,51
50,199;1168,51
50,302;1168,51
50,402;1168,51
50,493;1168,51
50,604;1168,51
50,692;1176,94
50,804;1176,94
50,901;1176,94
51,001;1176,94
51,099;1176,94
51,198;1176,94
51,297;1176,94
51,404;1176,94
51,501;1176,94
51,595;1176,94
51,697;1176,94
51,804;1176,94
51,9;1173,72
52,001;1173,72
52,094;1173,72
52,201;1173,72
52,296;1173,72
52,403;1173,72
52,501;1173,72
52,602;1173,72
52,688;1173,72
52,806;1173,72
52,897;1173,72
53,003;1173,72
53,101;1173,72
53,197;1173,72
53,303;1173,72
53,402;1173,72
53,499;1173,72
53,603;1173,72
53,689;1173,72
53,807;1173,72
53,9;1173,72
54,002;1173,72
54,098;1173,72
54,2;1173,72
54,296;1173,72
54,402;1173,72
54,498;1173,72
54,604;1173,72
54,688;1173,72
54,806;1170,51
54,899;1170,51
55,001;1170,51
55,099;1170,51
55,195;1170,51
55,299;1170,51
55,402;1170,51
55,496;1170,51
55,603;1170,51
55,69;1170,51
55,803;1170,51
55,899;1170,51
56,001;1170,51
56,095;1154,06
56,195;1154,06
56,302;1154,06
56,401;1170,51
56,497;1154,06
56,601;1154,06
56,693;1154,06
56,803;1154,06
56,901;1154,06
57,001;1154,06
57,1;1154,06
57,195;1145,75
57,29;1145,75
57,404;1145,75
57,495;1145,75
57,602;1145,75
57,689;1145,75
57,803;1145,75
57,897;1145,75
58,001;1145,75
58,099;1145,75
58,194;1145,75
58,299;1145,75
58,402;1145,75
58,497;1145,75
58,601;1145,75
58,688;1145,75
58,802;1145,75
58,9;1145,75
59,001;1145,75
59,091;1145,75
59,197;1145,75
59,302;1145,75
59,399;1145,75
59,494;1129,53
59,601;1129,53
59,691;1121,33
59,801;1121,33
59,893;1121,33
60,003;1121,33
60,097;1121,33
60,196;1121,33
60,296;1121,33
60,401;1121,33
60,496;1121,33
60,6;1121,33
60,692;1113,17
60,802;1113,17
60,898;1121,33
60,998;1124,45
61,097;1113,17
61,194;1113,17
61,298;1097,27
61,398;1097,27
61,498;1097,27
61,599;1097,27
61,687;1097,27
61,802;1097,27
61,897;1100,35
61,999;1100,35
62,098;1100,35
62,194;1100,35
62,295;1100,35
62,399;1100,35
62,497;1100,35
62,6;1100,35
62,69;1100,35
62,801;1100,35
62,892;1100,35
63,001;1100,35
63,095;1100,35
63,196;1100,35
63,292;1092,29
63,4;1092,29
63,498;1092,29
63,599;1092,29
63,688;1100,35
63,8;1092,29
63,895;1092,29
63,998;1092,29
64,097;1092,29
64,197;1092,29
64,299;1092,29
64,399;1092,29
64,496;1092,29
64,6;1092,29
64,688;1092,29
64,801;1092,29
64,897;1092,29
64,998;1092,29
65,099;1092,29
65,19;1095,36
65,298;1095,36
65,398;1119,39
65,495;1119,39
65,599;1119,39
65,686;1119,39
65,803;1119,39
65,896;1119,39
65,997;1119,39
66,095;1119,39
66,197;1119,39
66,298;1119,39
66,399;1119,39
66,495;1119,39
66,6;1119,39
66,684;1119,39
66,802;1119,39
66,896;1119,39
66,997;1119,39
67,098;1119,39
67,193;1119,39
67,299;1119,39
67,397;1119,39
67,495;1119,39
67,599;1119,39
67,69;1119,39
67,801;1119,39
67,899;1119,39
67,997;1119,39
68,099;1119,39
68,191;1119,39
68,3;1119,39
68,398;1119,39
68,496;1135,51
68,596;1119,39
68,689;1135,51
68,799;1135,51
68,897;1135,51
68,998;1135,51
69,098;1135,51
